"URL","Context","TableIndex","Rows","Columns","FirstRow"
"https://mgm.ibos.io/accounts/budgetSetup/create","create:Budget Create / tab:Budget","0","1","17","Account Head | Expense Name | Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec | Total | Action | "
"https://mgm.ibos.io/accounts/budgetSetup/create","create:Budget Create / tab:Budget","1","2","16","Account Head | Expense Name | Jan | Feb | Mar | Apr | May | Jun | Jul | Aug | Sep | Oct | Nov | Dec | Total | Action"
"https://mgm.ibos.io/accounts/expenseIncomeHead","create:Create / tab:COA PERMISSION","0","3","5","SL | Employee Name | Voucher Type | Account Head | Action"
"https://mgm.ibos.io/accounts/expenseOrAdvance/createExpense","create:Create Expense / tab:EXPENSE","0","2","6","SL | Date | Accounts Name (GL) | Remarks | Amount | Action"
"https://mgm.ibos.io/accounts/expenseOrAdvance","create:Create Advance / tab:PROVISION","0","3","12"," | SL | Date | Code | Office Name | Expense Type | Partner/Payee | Chart Of Account | Description | Amount | Status | Actions"
"https://mgm.ibos.io/accounts/lcmargin","create:LC Create / tab:PI/LC DETAILS","0","2","16","SL | Office | LC Date | LC NO | Bank | Branch | PI NO | PI Date | PO NO | Margin Balance | LC Charge | VAT On LC | Insurance Charge | VAT On Insurance | Status | Action"
"https://mgm.ibos.io/accounts/lcmargin","create:LC Create / tab:PI/LC DETAILS","1","2","15","SL | Office | LC Date | LC NO | Bank | Branch | PI NO | PI Date | PO NO | Margin Balance | LC Charge | VAT On LC | Insurance Charge | VAT On Insurance | Status"
"https://mgm.ibos.io/accounts/Project/create","create:Create Project / tab:PROJECT","0","1","4","SL | Team Member | Role | Action"
"https://mgm.ibos.io/accounts/Project/create","create:Create Project / tab:PROJECT","1","2","5","SL | Cost Element | Responsible | Budget Amount | Action"
"https://mgm.ibos.io/accounts/Project/create","create:Create Project / tab:PROJECT","2","2","8","SL | Item Code | Item Name | UOM | Quantity | Price | Total | Action"
"https://mgm.ibos.io/asset/assetDisposal","create:Create Disposal","0","1","8","SL | Date | Customer | Total Amount | Rece. Amount | Pending Amount | Action | "
"https://mgm.ibos.io/asset/assetDisposal","create:Create Disposal","1","2","7","SL | Date | Customer | Total Amount | Rece. Amount | Pending Amount | Action"
"https://mgm.ibos.io/asset/assetDisposal?tab=destroy","create:Create Disposal / tab:Destroy","0","1","6","Date | AR Code | Asset Name | Current Value | Remarks | "
"https://mgm.ibos.io/asset/assetDisposal?tab=destroy","create:Create Disposal / tab:Destroy","1","2","5","Date | AR Code | Asset Name | Current Value | Remarks"
"https://mgm.ibos.io/asset/assetDisposal?tab=report","create:Create Disposal / tab:Report","0","1","6","SL | Date | AR Code | Asset Name | Current Value | "
"https://mgm.ibos.io/asset/assetDisposal?tab=report","create:Create Disposal / tab:Report","1","2","5","SL | Date | AR Code | Asset Name | Current Value"
"https://mgm.ibos.io/asset/assetDisposal","create:Create Disposal / tab:Sales","0","1","8","SL | Date | Customer | Total Amount | Rece. Amount | Pending Amount | Action | "
"https://mgm.ibos.io/asset/assetDisposal","create:Create Disposal / tab:Sales","1","2","7","SL | Date | Customer | Total Amount | Rece. Amount | Pending Amount | Action"
"https://mgm.ibos.io/config/responsibilityTransfer/create","create:Create Transfer","0","1","7","SL | From User | To User | From Date | To Date | Action | "
"https://mgm.ibos.io/config/responsibilityTransfer/create","create:Create Transfer","1","2","6","SL | From User | To User | From Date | To Date | Action"
"https://mgm.ibos.io/config/responsibilityTransfer/create","create:Create Transfer / tab:Responsibility Transfer","0","1","7","SL | From User | To User | From Date | To Date | Action | "
"https://mgm.ibos.io/config/responsibilityTransfer/create","create:Create Transfer / tab:Responsibility Transfer","1","2","6","SL | From User | To User | From Date | To Date | Action"
"https://mgm.ibos.io/hrAdmin/config/sandwichLeave-create","create:New / tab:Sandwich Leave","0","7","2"," | Scenario"
"https://mgm.ibos.io/hrAdmin/config/sandwichLeave-create","create:New / tab:Sandwich Leave","1","1","3","Seq | Leave Type | Action"
"https://mgm.ibos.io/inventory/auditSetup/create","create:Create","0","1","6","SL | Supplier Name | Category Code | Category Name | Sub Category Name | Action"
"https://mgm.ibos.io/inventory/gateInOut/create","create:Create Get In Out","0","2","4","SL | Item Name | UOM | Quantity"
